"Name","alpha","gamma","explanation_length","val/explanation accuracy","val/listener accuracy"
"cub_claim_len30_gamma0.6_alpha0.2","0.2","0.6","30","0.8365925870981128","0.6166242578456319"
"cub_claim_len30_gamma0.4_alpha0.2","0.2","0.4","30","0.702153595753703","0.6162001696352841"
"cub_claim_len30_gamma0.2_alpha0.2","0.2","0.2","30","0.5957167124323566","0.6564885496183206"
"cub_claim_len24_gamma0.6_alpha0.2","0.2","0.6","24","0.8205400055196954","0.5937234944868532"
"cub_claim_len24_gamma0.4_alpha0.2","0.2","0.4","24","0.6947448405297355","0.6268023748939779"
"cub_claim_len24_gamma0.2_alpha0.2","0.2","0.2","24","0.6137793306782652","0.6157760814249363"
"cub_claim_len18_gamma0.6_alpha0.2","0.2","0.6","18","0.8043914144579084","0.5932994062765055"
"cub_claim_len18_gamma0.4_alpha0.2","0.2","0.4","18","0.6970125328594593","0.6043256997455471"
"cub_claim_len18_gamma0.2_alpha0.2","0.2","0.2","18","0.6522947906740041","0.6013570822731128"
"cub_claim_len12_gamma0.6_alpha0.2","0.2","0.6","12","0.7751272268675463","0.5661577608142494"
"cub_claim_len12_gamma0.4_alpha0.2","0.2","0.4","12","0.7132456880994931","0.5703986429177269"
"cub_claim_len12_gamma0.2_alpha0.2","0.2","0.2","12","0.69341956709683","0.6043256997455471"
"cub_claim_len6_gamma0.6_alpha0.2","0.2","0.6","6","0.7572801770346967","0.5555555555555556"
"cub_claim_len6_gamma0.4_alpha0.2","0.2","0.4","6","0.7437093526858005","0.5411365564037319"
"cub_claim_len6_gamma0.2_alpha0.2","0.2","0.2","6","0.7341603019461984","0.5678541136556404"
"cub_claim_len30_gamma0.6_alpha0.0","0","0.6","30","0.8744719131605619","0.30661577608142493"
"cub_claim_len30_gamma0.4_alpha0.0","0","0.4","30","0.7192774714808832","0.402459711620017"
"cub_claim_len30_gamma0.2_alpha0.0","0","0.2","30","0.6367567054693531","0.33502968617472434"
"cub_claim_len24_gamma0.6_alpha0.0","0","0.6","24","0.8168816137758729","0.27184054283290926"
"cub_claim_len24_gamma0.4_alpha0.0","0","0.4","24","0.7026253816331212","0.34011874469889736"
"cub_claim_len24_gamma0.2_alpha0.0","0","0.2","24","0.7430170870514822","0.2506361323155216"
"cub_claim_len18_gamma0.6_alpha0.0","0","0.6","18","0.8053994680280095","0.24978795589482616"
"cub_claim_len18_gamma0.4_alpha0.0","0","0.4","18","0.7086794697904708","0.31255301102629346"
"cub_claim_len18_gamma0.2_alpha0.0","0","0.2","18","0.7289284027866432","0.2765055131467345"
"cub_claim_len12_gamma0.6_alpha0.0","0","0.6","12","0.7757393866903808","0.17726887192536048"
"cub_claim_len12_gamma0.4_alpha0.0","0","0.4","12","0.7450326178617858","0.22349448685326548"
"cub_claim_len12_gamma0.2_alpha0.0","0","0.2","12","0.7258710976472035","0.24215436810856655"
"cub_claim_len6_gamma0.6_alpha0.0","0","0.6","6","0.8585312388729908","0.032230703986429174"
"cub_claim_len6_gamma0.4_alpha0.0","0","0.4","6","0.8381750108429291","0.05385920271416455"
"cub_claim_len6_gamma0.2_alpha0.0","0","0.2","6","0.845638958855743","0.033927056827820185"